	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
mmu-miR-378a-3p	324.666666666667	344.333333333333	246.833333333333	376.666666666667	239.333333333333	329.75	253.166666666667	378.5	434.833333333333	550.083333333333
mmu-miR-203-3p	318	244	162	195	153	176	173	300	424	391
mmu-miR-1839-5p	317	252	204	196	196	222	177	330	458	379
mmu-miR-98-5p	307	262	238	259	232	334	294	344	660	407
mmu-miR-101b-3p	301.5	264	274.5	254	215.5	326.5	255	250	362.5	416.5
mmu-miR-145a-3p	301	397	282	319	282	343	309	690	907	952
mmu-miR-30e-5p	296	299	309.5	258.5	283.5	292	241	344	365.5	448
mmu-miR-181a-5p	293	347	271	298	252	292	263	568	602	621
mmu-miR-31-5p	290	437	217	310	241	294	226	588	917	534
mmu-miR-375-3p	279	196	153	147	103	103	141	224	524	347
mmu-miR-184-3p	278	155	262	198	160	232	219	163	361	247
mmu-miR-676-3p	262	244	190	234	161	160	215	356	692	502
mmu-miR-34c-3p	261	164	174	130	136	155	180	204	521	278
mmu-miR-146b-5p	260.5	260	200	230.5	152.5	192	223.5	300.5	436.5	347.5
mmu-miR-151-3p	256	198	196	202	143	183	169	307	386	351
mmu-miR-96-5p	243	240	194	234	217	310	246	320	409	366
mmu-miR-93-5p	239	255	141	207	131	192	198	252	440	341
mmu-miR-423-3p	230	317	186	220	123	174	145	357	447	415
mmu-miR-374b-5p|mmu-miR-374c-5p	226	181.5	182.5	251.5	157.5	208.5	202	239	408	323.5
mmu-miR-652-3p	223	112	123	164	129	137	123	188	247	215
mmu-miR-10a-3p	223	289	176	246	153	204	284	291	431	355
mmu-miR-127-3p	220	156	192	288	130	114	159	273	352	371
mmu-miR-30e-3p	209	226.5	145	192.5	108.5	156	198.5	166.5	273	280
mmu-miR-320-3p	207	188	207	313	178	234	240	310	420	381
mmu-miR-743b-3p	207	186	142	178	124	145	183	132	392	271
mmu-miR-200a-5p	201	131	170	162	133	211	138	169	238	207
mmu-miR-185-5p	191	187	116	108	87	113	123	256	350	247
mmu-miR-196a-5p	188	139	141	247	116	159	224	283	366	342
mmu-let-7j	184.5	216	193	185.5	114.5	152.5	174	323	0.5	374.5
mmu-miR-133a-3p	183	433.5	98	121	227	124	109.5	241.5	317.5	385.5
mmu-miR-872-5p	181	180	176	173	138	146	176	134	256	201
mmu-miR-342-3p	179	130	82	111	89	86	128	167	291	188
mmu-miR-743a-3p	176	222	127	143	113	140	183	139	360	306
mmu-miR-186-5p	166	174	125	137	136	156	183	150	237	199
mmu-miR-3535	161	47	77	71	85	77	43	161	157	109
mmu-miR-17-5p	157.5	155	76.5	116	97	91.5	108	179.5	296.5	272
mmu-miR-423-5p	150	92	99	128	76	76	76	179	233	216
mmu-miR-379-5p	146	80	132	165	101	143	134	192	144	206
mmu-miR-29b-3p	145	139	118	108	115.5	115	118	203	263.5	231
mmu-miR-486a-5p|mmu-miR-486b-5p	140	123	117	146	187	95	115	328	350	424
mmu-miR-532-5p	138	147	107	121	93	97	128	150	204	203
mmu-miR-107-3p	137	148	113.5	122	114	111.5	106.5	232	272	275
mmu-miR-470-5p	130	81	132	97	77	69	84	118	200	157
mmu-miR-199b-5p	127.5	98.5	146.5	174	110.5	152	156.5	124	143	171
mmu-miR-19b-3p	126	148	73.5	74	62.5	63.5	91	106	271	179
mmu-miR-218-5p	124	126	155	140	128	141	145	156	195	212
mmu-miR-195a-5p	123	91	80	91	75	76	75	149	254	194
mmu-miR-34a-5p	122	97	52	68	82	88	67	173	157	144
mmu-miR-192-5p	121	164	123	140	95	134	167	126	219	191
mmu-miR-328-3p	121	123	84	112	57	70	82	207	252	228
mmu-miR-449a-5p	116	96	101	96	122	113	106	124	193	163
mmu-miR-128-3p	114	151	146	117	105	77	146	186	312	225
mmu-miR-501-3p	110	131	87	81	54	69	79	136	240	212
mmu-miR-187-3p	101	94	76	95	60	83	66	189	173	146
mmu-miR-744-5p	98	153	103	147	82	104	96	258	220	221
mmu-miR-106b-3p	97	137	94	88	66	81	77	124	207	172
mmu-miR-139-5p	97	121	80	108	74	56	97	154	206	205
mmu-miR-151-5p	97	80	51	74	64	49	54	107	183	141
mmu-miR-350-3p	96	96	100	69	85	69	76	73	146	88
mmu-miR-465a-5p	95.5	83.5	54	58	39.5	59	58	55	157	109
mmu-miR-871-5p	95	98	57	68	67	55	87	89	163	118
mmu-miR-194-5p	94	82	83	94	64	80	93	84	166	150
mmu-miR-339-5p	94	151	59	93	70	84	105	171	268	176
mmu-miR-200b-5p	93	62	36	58	48	46	47	89	153	91
mmu-miR-365-3p	88	101	37	76	60	67	67	104	171	122
mmu-miR-361-3p	88	82	68	85	51	63	61	110	204	148
mmu-miR-155-5p	87	115	56	79	45	87	59	153	186	130
mmu-miR-871-3p	86	69	62	41	41	38	67	88	135	121
mmu-miR-15b-5p	82	96	41	57	34	50	69	84	169	118
mmu-miR-10b-3p	82	92	70	105	57	103	113	122	171	144
