	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
mmu_piR_033954|gb|DQ721089|Mus_musculus:12:98797333:98797361:Minus	3	0	0	0	4	0	1	2	1	0
mmu_piR_000619|gb|DQ540976|Mus_musculus:17:39454691:39454717:Plus	3	6	10	4.5	6.5	6	4	3	11	8
mmu_piR_003435|gb|DQ549843|Mus_musculus:12:98797205:98797235:Minus	3	2	5	3	1	0	3	0	8	5
mmu_piR_037935|gb|DQ726847|Mus_musculus:7:73656612:73656642:Minus	3	4	5	9	5	0	5	5	8	3
mmu_piR_000709|gb|DQ541257|Mus_musculus:9:67541013:67541041:Plus	3	1	3	2	7	2	3	5	9	7
mmu_piR_025477|gb|DQ708814|Mus_musculus:9:54013680:54013708:Minus	3	0	0	0	0	0	0	0	0	1
mmu_piR_007432|gb|DQ563889|Mus_musculus:17:27085228:27085256:Plus	3	0	2	1.5	9	2	1	1	1	1
mmu_piR_013979|gb|DQ691955|Mus_musculus:5:113595485:113595513:Plus	3	2	1.5	1	0	0	0	1	0	0
mmu_piR_008669|gb|DQ568124|Mus_musculus:4:41999514:41999544:Plus	3	4	0	4	2	1	2	1	4	6
mmu_piR_015304|gb|DQ693890|Mus_musculus:9:67538206:67538235:Plus	3	0	1	0	0.5	1	0.5	0	0	0
mmu_piR_029052|gb|DQ713992|Mus_musculus:9:54014955:54014986:Minus	3	1	4	3	4	1	4	0	3	4
mmu_piR_022877|gb|DQ705026|Mus_musculus:16:23024323:23024351:Plus	3	1	6	5	7	3	2	5	9	14
mmu_piR_016154|gb|DQ695161|Mus_musculus:2:92362524:92362553:Plus	3	1	1	1	0	1	0	0	3	2
mmu_piR_000320|gb|DQ540310|Mus_musculus:8:113012140:113012169:Plus	3	4	2	4	6	1	0	3	2	1
mmu_piR_009762|gb|DQ685431|Mus_musculus:3:35065633:35065661:Plus	3	2	4	7	6	0	2	5	3	3
mmu_piR_037859|gb|DQ726733|Mus_musculus:5:150084241:150084266:Minus	3	1	0	1	1	0	0	1	1	0
mmu_piR_000128|gb|AB251255|Mus_musculus:17:27029269:27029294:Minus	3	4	4	3.5	2	1.5	6	1.5	4	3.5
mmu_piR_034927|gb|DQ722495|Mus_musculus:10:100009329:100009359:Minus	2.83333333333333	1.66666666666667	4.66666666666667	2.33333333333333	6.5	1.5	2.5	1.16666666666667	3.5	3.16666666666667
mmu_piR_029602|gb|DQ714779|Mus_musculus:1:119461654:119461682:Plus	2.83333333333333	1.66666666666667	4.66666666666667	2.33333333333333	6.5	1.5	2.5	1.16666666666667	3.5	3.16666666666667
mmu_piR_019381|gb|DQ699924|Mus_musculus:7:128580666:128580690:Plus	2.5	1.5	4	1.33333333333333	2.5	0.5	1.5	3	2.5	1.5
mmu_piR_005789|gb|DQ557348|Mus_musculus:17:48577912:48577941:Minus	2.5	1	2.33333333333333	2.33333333333333	3.5	3	2.5	0.5	3.83333333333333	0.5
mmu_piR_026737|gb|DQ710649|Mus_musculus:5:150070795:150070824:Minus	2.5	1.5	4	1.33333333333333	2.5	0.5	1.5	3	2.5	1.5
mmu_piR_000125|gb|AB251251|Mus_musculus:17:27019922:27019940:Minus	2.5	3	2.5	1.5	6.5	1.5	2	7.5	7	8
mmu_piR_026822|gb|DQ710774|Mus_musculus:5:150092181:150092211:Minus	2.5	3.5	3	5	5.5	3.5	2.5	5	5.5	2
mmu_piR_017645|gb|DQ697358|Mus_musculus:11:107811898:107811929:Plus	2.5	4	6	5	8.5	2	6	5.5	4	4
mmu_piR_012368|gb|DQ689489|Mus_musculus:9:67526970:67526998:Minus	2.5	1.5	2.5	1.5	4	1	1	0	1	1
mmu_piR_037809|gb|DQ726660|Mus_musculus:4:57453474:57453505:Minus	2.5	0	0	0.5	1	1	0	0	1	0
mmu_piR_030577|gb|DQ716154|Mus_musculus:5:150092188:150092216:Minus	2.5	2.5	3	5	4.5	1.5	1.5	4	4.5	2
mmu_piR_022082|gb|DQ703881|Mus_musculus:5:150091890:150091918:Minus	2.33333333333333	0.5	1.16666666666667	0.833333333333333	0.666666666666667	1	0.333333333333333	0	2.16666666666667	1
mmu_piR_014983|gb|DQ693430|Mus_musculus:7:73684351:73684379:Minus	2.33333333333333	4	3	1	5.5	0	1	1	7.66666666666667	5
mmu_piR_021767|gb|DQ703395|Mus_musculus:10:100009337:100009365:Minus	2.33333333333333	2.66666666666667	4.66666666666667	2.33333333333333	7	1	3	2.66666666666667	4	1.66666666666667
mmu_piR_029234|gb|DQ714258|Mus_musculus:9:67527612:67527640:Minus	2	1	0.5	0	0	0	0	1	0	0.5
mmu_piR_039057|gb|piRNA_2572|Mus_musculus:5:113589575:113589600:Plus	2	4	16	6	9	5	6	7	15	12
mmu_piR_032970|gb|DQ719590|Mus_musculus:17:27057068:27057098:Plus	2	0	0	0	0	2	0	1	1	0
mmu_piR_030148|gb|DQ715556|Mus_musculus:14:22934907:22934938:Plus	2	0	0	0	0	1	0	0	0	0
mmu_piR_020133|gb|DQ701040|Mus_musculus:7:69783472:69783502:Plus	2	0	1	0	2	0	0	0	3.5	3
mmu_piR_028913|gb|DQ713770|Mus_musculus:2:92397364:92397392:Plus	2	0	0	1	0	0	0	0	2	0
mmu_piR_001525|gb|DQ543601|Mus_musculus:8:100283727:100283757:Minus	2	0	0	0	0	0	0	0	0	0
mmu_piR_020398|gb|DQ701436|Mus_musculus:5:113595533:113595560:Plus	2	1	0	2	1	1	0	1	0	0
mmu_piR_039249|gb|piRNA_2924|Mus_musculus:7:72987373:72987392:Plus	2	0	0	0	0	0	0	0	1	0
mmu_piR_031754|gb|DQ717816|Mus_musculus:11:103256679:103256705:Plus	2	0	0	0	0	0	0	0	0	0
mmu_piR_008004|gb|DQ565897|Mus_musculus:9:67538196:67538226:Plus	2	1	1	0	3.5	2	0.5	0	3	0
mmu_piR_030366|gb|DQ715869|Mus_musculus:5:115112187:115112217:Minus	2	1	5	1	1	0	1	1	3	1
mmu_piR_028436|gb|DQ713097|Mus_musculus:18:67183293:67183322:Minus	2	0	1	0	2	1	0	0	0	1
mmu_piR_014326|gb|DQ692470|Mus_musculus:14:22926866:22926896:Plus	2	2	0	0	2	0	1	4	3	2
mmu_piR_029615|gb|DQ714793|Mus_musculus:9:67515080:67515109:Minus	2	0	0	0	0	0	0	0	0	0
mmu_piR_035063|gb|DQ722697|Mus_musculus:12:98797452:98797482:Minus	2	1	2	0	2	0	0	0	0	2
mmu_piR_024099|gb|DQ706842|Mus_musculus:7:72979065:72979096:Plus	2	0	0	0	0	0	0	0	0	0
mmu_piR_013744|gb|DQ691599|Mus_musculus:6:100004773:100004800:Plus	2	0	2	0	2	0	0	3	2	5
mmu_piR_028847|gb|DQ713679|Mus_musculus:4:93790103:93790132:Minus	2	0	0	0	0	0	0	0	0	0
mmu_piR_004609|gb|DQ553582|Mus_musculus:2:100223280:100223308:Plus	2	0	2.66666666666667	2.25	3.83333333333333	2.33333333333333	0	5	8	4
mmu_piR_015808|gb|DQ694640|Mus_musculus:5:150083619:150083650:Minus	2	0	1	0	1	0	0	0	0	1
mmu_piR_009889|gb|DQ685652|Mus_musculus:8:113018045:113018075:Plus	2	0	0	0	0	0	0	0	0	0
mmu_piR_017141|gb|DQ696608|Mus_musculus:5:130437878:130437907:Plus	2	1	0	0	1	0	0	0	2	0
mmu_piR_012931|gb|DQ690376|Mus_musculus:6:127763177:127763206:Plus	2	0	0	0	0	0	1	0	0	0
mmu_piR_009591|gb|DQ685170|Mus_musculus:17:66117268:66117297:Plus	2	0	0	0	1	0	0	1	1	0
mmu_piR_020536|gb|DQ701631|Mus_musculus:11:103255855:103255883:Plus	2	1	0	0	2	2	1	1	0	1
mmu_piR_009443|gb|DQ684926|Mus_musculus:18:67190767:67190796:Minus	2	0	1	0	0.5	0	3	0	0	2
mmu_piR_018553|gb|DQ698724|Mus_musculus:4:61710443:61710472:Minus	2	2	1	1	0	2	1	1	2	1
mmu_piR_029456|gb|DQ714566|Mus_musculus:2:92363751:92363778:Plus	2	1	0	0	2	1	1	2	2	3
mmu_piR_008809|gb|DQ568552|Mus_musculus:14:18429357:18429387:Minus	2	0	0	0	0	0	1	0	0	0
mmu_piR_014993|gb|DQ693444|Mus_musculus:14:22923514:22923543:Plus	2	2	0	0	1	0	0	1	0.5	0
mmu_piR_016915|gb|DQ696283|Mus_musculus:10:62077424:62077453:Plus	2	0	0.5	1	1	0	0	1	0	0
mmu_piR_007961|gb|DQ565755|Mus_musculus:8:113016948:113016976:Plus	2	0	1	0	0	0	0	0	0	0
mmu_piR_004266|gb|DQ552334|Mus_musculus:7:73689463:73689494:Minus	2	2	0	0	3	0	0	2	2	1
mmu_piR_017778|gb|DQ697553|Mus_musculus:5:113577198:113577227:Minus	2	0	0	0	0	0	0	0	0	0
mmu_piR_001797|gb|DQ544437|Mus_musculus:8:95081941:95081970:Plus	2	0	0	0	2	0	0	0	3.5	1
mmu_piR_013344|gb|DQ690982|Mus_musculus:2:92372852:92372882:Plus	2	1	2	2	3	1	1	0	1	0
mmu_piR_033813|gb|DQ720888|Mus_musculus:7:73691311:73691340:Plus	2	7	5	1.66666666666667	1.66666666666667	1.66666666666667	1.66666666666667	1.33333333333333	3.33333333333333	4
mmu_piR_010106|gb|DQ685998|Mus_musculus:14:18428839:18428870:Minus	2	1	1	0	1	1	1	0	3	1
mmu_piR_037871|gb|DQ726756|Mus_musculus:14:22923332:22923360:Plus	2	1	0	2	0	0	0	0	2	0
mmu_piR_024255|gb|DQ707067|Mus_musculus:18:67187854:67187885:Minus	2	1.5	1.5	0	2.5	0.5	0.5	2	1.5	3.5
mmu_piR_011798|gb|DQ688592|Mus_musculus:17:27055046:27055076:Plus	2	1	2	2	3.5	3	1	0.5	1	1
mmu_piR_010485|gb|DQ686587|Mus_musculus:5:150091886:150091916:Minus	2	0	3.16666666666667	2.83333333333333	1.66666666666667	1	0.333333333333333	2	1.66666666666667	1
mmu_piR_000308|gb|DQ540281|Mus_musculus:2:127391174:127391203:Plus	2	0	1	0	1	1	0	1	2	1
mmu_piR_010920|gb|DQ687254|Mus_musculus:13:24913509:24913538:Plus	2	0.5	1	0	0	0	0	0	0.5	1
mmu_piR_004248|gb|DQ552267|Mus_musculus:18:67185267:67185297:Minus	2	0	0	0	0	0	0	0	0	0
mmu_piR_011211|gb|DQ687698|Mus_musculus:9:67524920:67524950:Minus	2	0	0	0	1	0	0	0	1	0
mmu_piR_009618|gb|DQ685211|Mus_musculus:6:85078095:85078123:Minus	2	1	1	0	0	0	0	0	2.5	0
mmu_piR_013401|gb|DQ691073|Mus_musculus:17:66113676:66113701:Plus	2	1	2	1	1	1	0	0	1	0
mmu_piR_020633|gb|DQ701775|Mus_musculus:5:113572416:113572445:Minus	2	0	0	0	0	0	0	1	0	0
mmu_piR_011571|gb|DQ688261|Mus_musculus:9:67504024:67504054:Minus	2	2	1	0	2	0	1	0	1	2
mmu_piR_034497|gb|DQ721868|Mus_musculus:17:27063779:27063808:Plus	2	0	1	0	1	0	0	0	1	1
mmu_piR_031575|gb|DQ717571|Mus_musculus:9:67537995:67538020:Plus	2	0	0	0	0	3	0	1.5	2	3
mmu_piR_028084|gb|DQ712596|Mus_musculus:17:27041823:27041852:Minus	2	0	1	0	0	1	1	1	3	0
mmu_piR_036316|gb|DQ724529|Mus_musculus:15:59080714:59080743:Minus	2	0	0	0	1	0	0	0	1.5	0
mmu_piR_023538|gb|DQ706002|Mus_musculus:5:113591708:113591737:Plus	2	0	1	1	1	0	3	0	1	0
mmu_piR_005522|gb|DQ556610|Mus_musculus:5:135444946:135444977:Plus	2	3	6	0	5	0	0	5	6	6
mmu_piR_010963|gb|DQ687324|Mus_musculus:4:57455374:57455403:Minus	2	0	1	0	2	1	0	4	0	2
mmu_piR_018694|gb|DQ698925|Mus_musculus:17:27086372:27086398:Plus	2	0	0	0	1	0	0	0	1	0
mmu_piR_030545|gb|DQ716110|Mus_musculus:4:93780807:93780837:Minus	2	0	0	0	1	0	0	0	0	0
mmu_piR_011071|gb|DQ687491|Mus_musculus:17:27075589:27075619:Plus	2	3	0	0	0	0	0	1	0	1
mmu_piR_025023|gb|DQ708153|Mus_musculus:10:100011506:100011536:Plus	2	0	1	1	0	1	0	3	0	1
mmu_piR_011234|gb|DQ687738|Mus_musculus:10:75300028:75300056:Plus	2	1.5	5	5	2.5	0	2.5	3	6	4
mmu_piR_035459|gb|DQ723268|Mus_musculus:5:113586311:113586342:Plus	2	1	0	2	0	1	2	0	1	1
mmu_piR_005077|gb|DQ555018|Mus_musculus:13:100092680:100092711:Minus	2	6	5	4	4	8	1	5	14	5
mmu_piR_035127|gb|DQ722794|Mus_musculus:7:73666755:73666786:Minus	2	1	3	1	1	0	2	1	8	1
mmu_piR_039536|gb|piRNA_3431|Mus_musculus:9:67524690:67524715:Minus	2	2	1	1	0	0	0	1	2	0
mmu_piR_026152|gb|DQ709799|Mus_musculus:7:69792441:69792470:Plus	2	0	0	0	0	0	1	0	0	0
mmu_piR_021046|gb|DQ702362|Mus_musculus:7:72983655:72983681:Plus	2	0	0	0	1	0	0	0	2	0
mmu_piR_015576|gb|DQ694302|Mus_musculus:17:27038013:27038042:Minus	2	1.5	1	1	2	0	1	5	2	5
mmu_piR_010811|gb|DQ687094|Mus_musculus:8:95078786:95078816:Plus	2	1.5	4	2	2	2	5	3.5	10	8
mmu_piR_009124|gb|DQ569447|Mus_musculus:1:127003210:127003238:Plus	2	0	0	0	1	0	1	0	1	0
mmu_piR_023751|gb|DQ706331|Mus_musculus:18:67165133:67165162:Minus	2	0	0	0	0	0	0	0.333333333333333	0.2	0.333333333333333
mmu_piR_009954|gb|DQ685746|Mus_musculus:5:115106992:115107020:Minus	2	0	1	1	0	0	1	0	2	1
mmu_piR_007714|gb|DQ564869|Mus_musculus:5:113587819:113587847:Plus	2	0	0	0	0	0	1	0	0	0
mmu_piR_024633|gb|DQ707615|Mus_musculus:4:93823362:93823393:Minus	2	6	3	3	2	2	3	1	1	4
mmu_piR_018780|gb|DQ699057|Mus_musculus:10:100012063:100012088:Plus	2	0	0	1	0	0	0	2	2	0
mmu_piR_017924|gb|DQ697762|Mus_musculus:6:127765859:127765888:Plus	2	0.5	2.5	1	1.5	0.5	1	0	1.5	1.5
mmu_piR_010120|gb|DQ686014|Mus_musculus:5:113589409:113589438:Plus	2	1	0	0	3	4	2	1	5	0
mmu_piR_033674|gb|DQ720680|Mus_musculus:15:83183970:83183999:Minus	2	0	0	1	1	0	0	0	1	0
mmu_piR_012208|gb|DQ689260|Mus_musculus:15:59086418:59086445:Minus	2	0	0	0	0	0	0	0	1	0
mmu_piR_024106|gb|DQ706850|Mus_musculus:17:27047568:27047597:Minus	2	2	1.5	0	3	3	2	2	4.5	1
mmu_piR_036813|gb|DQ725228|Mus_musculus:11:107811017:107811047:Plus	2	2	2	1	5	1	1	1	2	1
mmu_piR_025910|gb|DQ709437|Mus_musculus:9:67521862:67521891:Minus	2	0	2	2	1	0	0	3	1	3
mmu_piR_033099|gb|DQ719820|Mus_musculus:17:66115634:66115662:Plus	2	1	0	1.5	0.5	0.5	0	1	4.5	1
mmu_piR_021024|gb|DQ702333|Mus_musculus:5:144014197:144014228:Plus	2	1	1	0	4	1	1.5	1	3	2
mmu_piR_013928|gb|DQ691874|Mus_musculus:5:115108681:115108709:Minus	2	0	0	0	0	0	0	0	1.5	0
mmu_piR_036249|gb|DQ724426|Mus_musculus:17:66117567:66117595:Plus	2	0	1	0	1	0	1	0	0	0
mmu_piR_026778|gb|DQ710713|Mus_musculus:2:92387643:92387672:Plus	2	0	1	2	3	2	4	0	5	2
mmu_piR_010180|gb|DQ686099|Mus_musculus:2:92354236:92354264:Plus	2	0	0	0	0	0	0	0	0	0
mmu_piR_029053|gb|DQ713993|Mus_musculus:2:92374285:92374309:Plus	2	0	0	0	0	0	0	0	0	1
mmu_piR_021370|gb|DQ702815|Mus_musculus:5:100053984:100054012:Minus	2	1	0	0	0	0	0	0	0	0
mmu_piR_013222|gb|DQ690799|Mus_musculus:18:35030721:35030749:Minus	2	0	0	0	0	0	0	0	0	0
mmu_piR_011313|gb|DQ687861|Mus_musculus:15:59086975:59087004:Minus	2	0	1	0	0	0	0	2	0	1
mmu_piR_002135|gb|DQ545425|Mus_musculus:14:43698754:43698783:Minus	2	0	0	0	0	0	0	0	0	1
mmu_piR_031219|gb|DQ717051|Mus_musculus:15:103020793:103020821:Minus	2	0	0	0	0	0	0	0	0	0
mmu_piR_037613|gb|DQ726384|Mus_musculus:12:98848284:98848313:Plus	2	4.5	2	3.5	7.5	2	0.5	0.5	3.5	2.5
mmu_piR_026519|gb|DQ710344|Mus_musculus:2:92363683:92363711:Plus	2	2	0	2	3	0	1	0	6	2
mmu_piR_027161|gb|DQ711268|Mus_musculus:12:98812351:98812380:Minus	2	1	0	1	2	1	2	2	2	4
