	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
mmu-miR-196b-5p	119	189	184	254	274	129	151	440.5	415	576
mmu-miR-1839-5p	116	151	143	112	197	85	96	219	431	294
mmu-miR-145a-3p	113	306	266	210	519	186	172	580	946	937
mmu-miR-184-3p	109	133	265	173	286	121	132	149	389	232
mmu-miR-34c-3p	103	162	203	142	292	85	86	210	617	361
mmu-miR-146b-5p	103	179.5	171	140.5	215.5	92	77.5	256.5	391.5	304
mmu-miR-210-3p	102	182	145	169	252	127	84	389	392	435
mmu-miR-375-3p	102	130	133	92	163	55	46	234	508	307
mmu-miR-652-3p	101	136	121	118	247	62	100	157	329	236
mmu-miR-96-5p	95	162	144	150	268	112	82	228	316	293
mmu-miR-743a-3p	95	205	129	83	191	80	109	124	398	289
mmu-miR-743b-3p	88	133	136	116	174	70	100	127	386	258
mmu-miR-30e-3p	88	152	145	102	189	87.5	111.5	142	301	285.5
mmu-miR-98-5p	87	160	176	121	216	119	134	248	436	325
mmu-miR-20a-5p	86	231	106	94	125	81	60	219.5	478.5	472.5
mmu-miR-10a-3p	86	205	167	190	260	131	155	285	477	387
mmu-miR-676-3p	84	151	174	125	182	93	94	330	618	509
mmu-miR-181a-5p	81	311	228	171	372	137	131	448	664	557
mmu-miR-342-3p	80	136	82	88	128	52	57	158	285	236
mmu-miR-127-3p	80	115	171	165	196	69	87	198	296	295
mmu-miR-423-3p	79	195	131	130	158	81	57	334	398	395
mmu-miR-200a-5p	77	115	140	114	184	93	68	165	235	193
mmu-miR-133a-3p	77	288	91	99.5	407	74.5	75	227	334.5	395.5
mmu-miR-470-5p	76	61	97	70	89	39	51	114	241	157
mmu-miR-30e-5p	75	196	219	167	346.5	107	108	252	371	378.5
mmu-miR-151-3p	74	158	186	156	239	99	92	301	441	392
mmu-miR-31-5p	74	335	171	174	230	86	122	462	846	418
mmu-miR-93-5p	68	147	92	85	122	62	76	151	310	231
mmu-miR-486a-5p|mmu-miR-486b-5p	64	102	107	106	286	47	46	267	384	481
mmu-miR-872-5p	64	117	133	95	170	87	84	133	253	218
mmu-miR-379-5p	62	66	120	128	103	106	56	170	168	152
mmu-miR-186-5p	59	116	109	98	177	87	78	97	219	179
mmu-miR-195a-5p	56	74	79	81	162	48	62	176	278	233
mmu-miR-192-5p	55	149	125	103	204	76	108	121	267	200
mmu-miR-29b-3p	54	94.5	96	86	215	80	65	163.5	249	190
mmu-miR-532-5p	52	90	86	66	121	51	65	134	180	180
mmu-miR-339-5p	50	127	95	93	135	59	76	175	334	202
mmu-miR-128-3p	49	133	167	110	184	40	78	205	378	262
mmu-miR-871-3p	49	62	54	39	88	21	44	91	138	130
mmu-miR-350-3p	47	88	125	81	140	45	67	110	197	111
mmu-miR-501-3p	45	78	80	63	97	39	52	129	245	141
mmu-miR-423-5p	45	73	49	73	68	37	28	145	134	179
mmu-miR-196a-5p	45	84	113	113	124	75	85	205.5	289	229
mmu-miR-744-5p	44	104	98	92	92	57	54	221	177	226
mmu-miR-17-5p	44	94	47.5	61	94	43	44	120	224	199
mmu-miR-218-5p	44	87	143	109	190	58	75	154	187	241
mmu-miR-185-5p	43	103	81	66	98	51	40	205	306	201
mmu-miR-320-3p	42	109	117	121	118	95	70	161	251	208
mmu-miR-106b-3p	42	111	82	51	107	43	54	158	229	209
mmu-miR-19b-3p	42	120	60	47	112.5	50	41	105	224	189
mmu-miR-690	42	114	135	121	146	62	74	226	292	221
mmu-miR-328-3p	41	80	67	75	95	32	38	164	205	261
mmu-miR-107-3p	40	91	73	81.5	116	58.5	59.5	180	249	220
mmu-miR-449a-5p	40	75	87	46	84	49	34	104	155	153
mmu-miR-139-5p	39	83	73	88	127	43	68	144	178	187
mmu-let-7d-3p	39	73	57	76	109	37	48	135	174	201
mmu-miR-151-5p	39	67	67	65	100	24	35	99	229	133
mmu-miR-199b-5p	38.5	59.5	57	106.5	125.5	57	52.5	78.5	101	156.5
mmu-miR-24-2-5p	37	82	95	91	127	53	59	79	118	83
mmu-miR-434-3p	37	55	64	83	108	32	54	58	128	123
mmu-miR-187-3p	37	51	61	64	92	33	29	144	169	115
mmu-miR-471-5p	36	97	95	61	116	33	65	104	254	191
mmu-miR-34a-5p	36	40	29	30	90	35	22	113	98	117
mmu-miR-365-3p	36	76	50	53	86	35	47	105	222	128
mmu-let-7j	34.5	100	72	57.5	97.5	49.5	46.5	169.5	205	212
mmu-miR-871-5p	34	49	48	42	83	33	35	47	130	116
mmu-miR-194-5p	34	79	82	85	122	41	68	124	190	169
mmu-miR-878-5p	32	52	73	23	79	27	42	33	108	90
mmu-miR-9-5p	32	63	69	23	57	24	30	49	71	91
mmu-miR-361-3p	32	54	47	61	67	32	21	89	164	133
mmu-miR-574-3p	32	32	67	63	89	32	34	90	141	91
mmu-miR-465a-5p	29	51	50	26	52	15	24	35	139	96
mmu-miR-126a-5p	27	54	31	36	61	17	25	54	133	139
mmu-miR-10b-3p	27	53	61	79	83	45	55	107	165	140
mmu-miR-142a-5p	27	114.5	55	66.5	75	34	41	100	129	113
mmu-miR-200b-5p	26	63	43	50	55	17	35	73	174	110
mmu-miR-30c-5p	25.5	59.5	40	37.5	77.5	23	38.5	61	99	108
